Track,Author,Platform,URL,Quote,Sentiment
1,Roisin O'Connor & Elizabeth Aubrey,The Independent,https://www.independent.co.uk/arts-entertainment/music/reviews/metallica-blacklist-review-common-album-b1916443.html,"But Alessia Cara triumphs ... abandoning her R&B roots in place of a <proficiency>snarling, agile vocal performance,</proficiency> with a <genre>delicious pinch of pop-punk</genre> on the verses providing additional spice.",1
2,Sam Walker-Smart,Clash,https://www.clashmusic.com/reviews/v-a-the-metallica-blacklist/,"Mac DeMarco['s] hella fun stab at 'Enter Sandman' add[s] some <genre>garage rock panache</genre> to this guitar shop classic. It's heavy, it's goofy, and he sounds like he's having the time of his life with it. ",1
2,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,Mac DeMarco's <proficiency>spirited if wobbly</proficiency> attempt to give it its full metal dues,-1
2,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,"(Then again, <loyalty>nobody, including ... Mac DeMarco, go very afield</loyalty> with that one.)",-1
3,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"Ghost transform Enter Sandman into a <genre>euphoric slice of 70s hard rock</genre> with <instrumentation>snarling riffs, piano-driven melodies</instrumentation> and Papa's witchy, layered vocals. ",1
3,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,Ghost have definitely been waiting to cover "Enter Sandman" forever and it comes out with their <memorability>distinct organ-heavy energy</memorability>.,1
3,Mark Beaumont,NME,https://www.nme.com/reviews/album/various-artists-the-metallica-blacklist-review-black-album-3042648,with the rear of the field made up by Ghost's <genre>gloss-rock pantomime</genre> version,-1
3,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,"(Then again, <loyalty>nobody, including Ghost ... go very afield</loyalty> with that one.)",-1
4,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,"Colombia's <reputation>Grammy-collecting megastar</reputation>, Juanes, <genre>funks up Enter Sandman with a bit of Latin flavour</genre>",1
4,Joe Daly,Metal Hammer,https://www.loudersound.com/reviews/the-metallica-blacklist-thrash-icons-landmark-album-gets-covered-across-the-musical-spectrum,...but you'd still be <memorability>hard-pressed to remember it</memorability> among the numerous other versions. ,-1
4,Max Morin,Metal Injection,https://metalinjection.net/reviews/metallica-the-metallica-blacklist,"...Juanes, the Colombian pop musician who returns to his roots for a <genre>reggaeton</genre> ""Enter Sandman"". ",1
4,Joe Gross,The Rolling Stone,https://www.rollingstone.com/music/music-album-reviews/the-metallica-blacklist-1221950/,"(Then again, <loyalty>nobody, including  ... Juanes ... go very afield</loyalty> with that one.)",-1
