Title,Artists,Danceability,dDanceability,Energy,dEnergy,Speechiness,dSpeechiness,Acousticness,dAcousticness,Instrumentalness,dInstrumentalness,Liveness,dLiveness,Valence,dValence,Overall Difference,Key,dKey,Mode,dMode,Tempo,dTempo,Loudness, dLoudness
Enter Sandman,"Alessia Cara, The Warning",0.537,-0.028999999999999915,0.636,-0.19799999999999995,0.0279,-0.001899999999999999,0.000172,-0.002598,0.000576,-0.007424,0.138,0.07550000000000001,0.162,-0.45899999999999996,0.5064501213150215,4,-2,0,0,130.997,7.701000000000008,-9.164,-0.7519999999999989,
Enter Sandman,"Mac DeMarco",0.577,0.01100000000000001,0.796,-0.03799999999999992,0.0356,0.0058,8.43e-05,-0.0026857,0.0189,0.0109,0.107,0.0445,0.427,-0.194,0.20332464922996915,0,-6,1,1,126.721,3.424999999999997,-5.486,2.926000000000001,
Enter Sandman,"Ghost",0.356,-0.20999999999999996,0.708,-0.126,0.039,0.0092,0.00253,-0.00023999999999999976,0.000102,-0.007898,0.0951,0.032600000000000004,0.378,-0.243,0.3467489524194702,2,-4,1,1,123.035,-0.2610000000000099,-6.52,1.8920000000000012,
Enter Sandman,"Juanes",0.775,0.20900000000000007,0.535,-0.29899999999999993,0.0434,0.013600000000000001,0.00118,-0.0015899999999999998,5.69e-05,-0.0079431,0.0739,0.011399999999999993,0.655,0.03400000000000003,0.3669039941696056,2,-4,1,1,123.018,-0.2780000000000058,-6.613,1.7990000000000004,
Enter Sandman,"Rina Sawayama",0.519,-0.04699999999999993,0.954,0.12,0.113,0.0832,0.00122,-0.00155,0.00015,-0.00785,0.0847,0.022199999999999998,0.302,-0.319,0.35475217405958204,9,3,0,0,124.695,1.3989999999999867,-4.413,3.9990000000000006,
Enter Sandman,"Weezer",0.533,-0.03299999999999992,0.846,0.01200000000000001,0.0499,0.0201,0.00105,-0.00172,0.0114,0.0034000000000000002,0.145,0.08249999999999999,0.446,-0.175,0.19769364784939344,5,-1,0,0,124.2,0.9039999999999964,-4.934,3.4780000000000006,
Sad But True (Live),"Sam Fender",0.536,-0.08799999999999997,0.269,-0.607,0.0261,-0.0081,0.698,0.697074,0,-0.00164,0.0681,0.011999999999999997,0.205,-0.24800000000000003,0.9611563145898798,3,-4,0,-1,65.946,-23.293999999999997,-7.055,-1.0499999999999998,
Sad But True,"Jason Isbell and the 400 Unit",0.369,-0.255,0.887,0.01100000000000001,0.0631,0.028900000000000002,0.0113,0.010374,0.0359,0.03426,0.232,0.1759,0.49,0.03699999999999998,0.3155509269135491,7,0,1,0,105.867,16.62700000000001,-4.582,1.423,
Sad But True,"Mexican Institute Of Sound, La Perla, Gera MX, Metallica",0.578,-0.04600000000000004,0.818,-0.05800000000000005,0.147,0.11279999999999998,0.00215,0.001224,0.0162,0.01456,0.335,0.27890000000000004,0.451,-0.0020000000000000018,0.31017179397230826,2,-5,1,0,178.083,88.843,-5.119,0.8860000000000001,
Sad But True,"Royal Blood",0.477,-0.14700000000000002,0.872,-0.0040000000000000036,0.034,-0.0001999999999999988,8.75e-05,-0.0008384999999999999,0.00323,0.0015899999999999998,0.0756,0.019500000000000003,0.631,0.178,0.23171646722287564,7,0,1,0,89.092,-0.14799999999999613,-4.436,1.569,
Sad But True,"St. Vincent",0.479,-0.14500000000000002,0.733,-0.14300000000000002,0.0871,0.052899999999999996,0.000589,-0.00033699999999999995,0.000432,-0.0012079999999999999,0.283,0.2269,0.508,0.05499999999999999,0.3142969819024675,9,2,0,-1,179.995,90.75500000000001,-8.539,-2.534,
