Title,Original Title,Artists,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Key,Mode,Tempo,Loudness
Enter Sandman,Enter Sandman,"Alessia Cara, The Warning",0.537,0.636,0.0279,0.000172,0.000576,0.138,0.162,4,0,130.997,-9.164,
Enter Sandman,Enter Sandman,"Mac DeMarco",0.577,0.796,0.0356,8.43e-05,0.0189,0.107,0.427,0,1,126.721,-5.486,
Enter Sandman,Enter Sandman,"Ghost",0.356,0.708,0.039,0.00253,0.000102,0.0951,0.378,2,1,123.035,-6.52,
Enter Sandman,Enter Sandman,"Juanes",0.775,0.535,0.0434,0.00118,5.69e-05,0.0739,0.655,2,1,123.018,-6.613,
Enter Sandman,Enter Sandman,"Rina Sawayama",0.519,0.954,0.113,0.00122,0.00015,0.0847,0.302,9,0,124.695,-4.413,
Enter Sandman,Enter Sandman,"Weezer",0.533,0.846,0.0499,0.00105,0.0114,0.145,0.446,5,0,124.2,-4.934,
Sad But True (Live),Sad But True,"Sam Fender",0.536,0.269,0.0261,0.698,0,0.0681,0.205,3,0,65.946,-7.055,
Sad But True,Sad But True,"Jason Isbell and the 400 Unit",0.369,0.887,0.0631,0.0113,0.0359,0.232,0.49,7,1,105.867,-4.582,
Sad But True,Sad But True,"Mexican Institute Of Sound, La Perla, Gera MX, Metallica",0.578,0.818,0.147,0.00215,0.0162,0.335,0.451,2,1,178.083,-5.119,
Sad But True,Sad But True,"Royal Blood",0.477,0.872,0.034,8.75e-05,0.00323,0.0756,0.631,7,1,89.092,-4.436,
Sad But True,Sad But True,"St. Vincent",0.479,0.733,0.0871,0.000589,0.000432,0.283,0.508,9,0,179.995,-8.539,
Sad But True,Sad But True,"White Reaper",0.48,0.846,0.0356,0.00011,0.00442,0.37,0.415,7,1,92.203,-4.975,
Sad But True,Sad But True,"YB",0.476,0.932,0.0364,4.78e-05,0.155,0.0721,0.609,0,1,98.002,-4.233,
Holier Than Thou,Holier Than Thou,"Biffy Clyro",0.471,0.735,0.0375,0.0039,0.000523,0.165,0.0598,6,1,144.058,-8.33,
Holier Than Thou,Holier Than Thou,"The Chats",0.156,0.987,0.156,0.00247,0.293,0.12,0.0395,9,1,184.117,-4.354,
Holier Than Thou,Holier Than Thou,"OFF!",0.224,0.995,0.263,2.31e-05,0.601,0.0758,0.143,4,1,176.374,-5.408,
Holier Than Thou,Holier Than Thou,"PUP",0.407,0.944,0.0397,6.7e-05,0.0204,0.334,0.614,1,0,170.953,-5.257,
Holier Than Thou,Holier Than Thou,"Corey Taylor",0.478,0.987,0.0685,0.00144,0.00607,0.837,0.547,1,0,172.065,-3.528,
The Unforgiven,The Unforgiven,"Cage The Elephant",0.576,0.634,0.0311,0.0563,0.163,0.136,0.189,7,1,143.989,-8.99,
