Name,Spotify ID,Spotify Profile,Spotify Genres,Image URL,Popularity
"Alessia Cara",2wUjUUtkb5lvLKcGKsKqsR,https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR,"canadian contemporary r&b,canadian pop,pop",https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7,70
"The Warning",2SmW1lFlBJn4IfBzBZDlSh,https://open.spotify.com/artist/2SmW1lFlBJn4IfBzBZDlSh,"mexican metal,monterrey indie",https://i.scdn.co/image/ab6761610000e5ebbf217572dc9f749377d70073,58
"Mac DeMarco",3Sz7ZnJQBIHsXLUSo0OQtM,https://open.spotify.com/artist/3Sz7ZnJQBIHsXLUSo0OQtM,"edmonton indie,lo-fi indie,pov: indie,slacker rock",https://i.scdn.co/image/ab6761610000e5eb3cef7752073cbbd2cc04c6f0,77
"Ghost",1Qp56T7n950O3EGMsSl81D,https://open.spotify.com/artist/1Qp56T7n950O3EGMsSl81D,"hard rock,metal",https://i.scdn.co/image/ab6761610000e5eb6a6c34bd58bfd10b1e4557f0,71
"Juanes",0UWZUmn7sybxMCqrw9tGa7,https://open.spotify.com/artist/0UWZUmn7sybxMCqrw9tGa7,"colombian pop,latin pop,mexican pop,rock en espanol",https://i.scdn.co/image/ab6761610000e5eb330d24db775125dcec2c7b4c,74
"Rina Sawayama",2KEqzdPS7M5YwGmiuPTdr5,https://open.spotify.com/artist/2KEqzdPS7M5YwGmiuPTdr5,"art pop,electropop,escape room,indie pop",https://i.scdn.co/image/ab6761610000e5eb8cb645e0a77bf015feda7fb9,58
"Weezer",3jOstUTkEu2JkjvRdBA5Gu,https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu,"alternative rock,modern power pop,modern rock,permanent wave,rock",https://i.scdn.co/image/ab6761610000e5eb3cd35451daa1b690cfbbb2d4,72
"Sam Fender",6zlR5ttMfMNmwf2lecU9Cc,https://open.spotify.com/artist/6zlR5ttMfMNmwf2lecU9Cc,"modern rock,north east england indie",https://i.scdn.co/image/ab6761610000e5eb3f024102223561c771cce4ed,65
"Jason Isbell and the 400 Unit",3Lg3FGwBxOGuefqekQzRUf,https://open.spotify.com/artist/3Lg3FGwBxOGuefqekQzRUf,"alternative country,folk,new americana,roots rock",https://i.scdn.co/image/ab6761610000e5ebf3ee3b123b3fdcd415559e5a,52
"Mexican Institute Of Sound",4TPTW3cTwUtiihgOMSQfmy,https://open.spotify.com/artist/4TPTW3cTwUtiihgOMSQfmy,"latin alternative,mexican indie,mexican rock",https://i.scdn.co/image/ab6761610000e5eb1561734cc5bf93599d70ffaf,43
"La Perla",1CJIcvG0AwRBiclbftNcDp,https://open.spotify.com/artist/1CJIcvG0AwRBiclbftNcDp,"tropical alternativo",https://i.scdn.co/image/ab6761610000e5ebf2856a52c6ad7374b6e3a4b4,30
"Gera MX",2hejA1Dkf8v8R0koF44FvW,https://open.spotify.com/artist/2hejA1Dkf8v8R0koF44FvW,"mexican hip hop,rap conciencia",https://i.scdn.co/image/ab6761610000e5ebd538754c49d48ea3ae41865e,74
