Artist,Genre 1,Genre 1 Percent Female, Genre 1 Average Age,Genre 2,Genre 2 Percent Female, Genre 2 Average Age,Genre 3,Genre 3 Percent Female, Genre 3 Average Age,Genre 4,Genre 4 Percent Female, Genre 4 Average Age,Genre 5,Genre 5 Percent Female, Genre 5 Average Age,Genre 6,Genre 6 Percent Female, Genre 6 Average Age,Genre 7,Genre 7 Percent Female, Genre 7 Average Age,Genre 8,Genre 8 Percent Female, Genre 8 Average Age,Overall Percent Female, Overall Average Age
"Alessia Cara",canadian contemporary r&b,29.9,51.7,canadian pop,34.0,54.4,pop,28.9,59.1,,,,,,,,,,,,,,,,30.933333333333334,55.06666666666666
"The Warning",mexican metal,32.8,13.4,monterrey indie,29.5,33.8,,,,,,,,,,,,,,,,,,,31.15,23.599999999999998
"Mac DeMarco",edmonton indie,34.5,38.0,lo-fi indie,26.5,37.9,pov: indie,25.1,50.9,,,,,,,,,,,,,,,,28.7,42.26666666666667
"Ghost",hard rock,40.2,20.3,metal,35.2,13.9,,,,,,,,,,,,,,,,,,,37.7,17.1
"Juanes",colombian pop,31.9,57.1,latin pop,35.2,57.5,mexican pop,34.1,59.1,rock en espanol,34.1,36.6,,,,,,,,,,,,,33.824999999999996,52.574999999999996
"Rina Sawayama",art pop,32.6,44.2,electropop,31.1,50.2,escape room,29.6,41.0,indie pop,28.5,59.1,,,,,,,,,,,,,30.450000000000003,48.625
"Weezer",alternative rock,35.9,28.8,modern power pop,40.1,24.0,modern rock,31.1,39.0,permanent wave,37.4,36.8,rock,36.9,29.5,,,,,,,,,,36.28,31.619999999999997
"Sam Fender",modern rock,31.1,39.0,north east england indie,36.5,37.7,,,,,,,,,,,,,,,,,,,33.8,38.35
"Jason Isbell and the 400 Unit",alternative country,42.8,28.1,folk,46.3,36.7,new americana,39.1,41.4,roots rock,46.5,25.2,,,,,,,,,,,,,43.675,32.85
"Mexican Institute Of Sound",latin alternative,34.3,36.7,mexican indie,31.2,34.8,mexican rock,33.2,29.2,,,,,,,,,,,,,,,,32.9,33.56666666666667
"La Perla",tropical alternativo,35.5,46.5,,,,,,,,,,,,,,,,,,,,,,35.5,46.5
"Gera MX",mexican hip hop,26.7,17.1,rap conciencia,29.2,22.1,,,,,,,,,,,,,,,,,,,27.95,19.6
"Metallica",hard rock,40.2,20.3,metal,35.2,13.9,old school thrash,36.5,10.5,rock,36.9,29.5,thrash metal,35.3,10.2,,,,,,,,,,36.82000000000001,16.880000000000003
"Royal Blood",brighton indie,33.7,33.8,garage rock,36.1,25.8,modern alternative rock,30.3,34.0,modern blues rock,41.6,20.1,modern hard rock,41.0,16.2,modern rock,31.1,39.0,rock,36.9,29.5,,,,35.81428571428572,28.342857142857138
"St. Vincent",art pop,32.6,44.2,etherpop,34.7,46.6,indie rock,33.3,37.3,indietronica,32.9,38.3,metropopolis,33.1,42.0,neo-synthpop,37.4,31.3,,,,,,,34.0,39.95000000000001
"White Reaper",indie punk,32.2,29.2,louisville indie,33.6,39.5,modern power pop,40.1,24.0,,,,,,,,,,,,,,,,35.300000000000004,30.900000000000002
